id,emoji,description,ocurrences
1249,✨,sparkles,1
1251,💪,flexed biceps,1
1251,♟️,chess pawn,1
1251,🌟,glowing star,1
1251,🔥,fire,1
1251,🧠,brain,1
1251,👋,waving hand,1
1251,🌍,globe showing Europe-Africa,1
1254,🔁,repeat button,1
1254,🚶‍♂️,man walking,1
1254,👍,thumbs up,1
1254,😍,smiling face with heart-eyes,1
1254,💾,floppy disk,1
1254,💬,speech balloon,1
1255,🏆,trophy,1
1255,🥰,smiling face with hearts,1
1261,💪🏾,flexed biceps: medium-dark skin tone,1
1261,♟️,chess pawn,1
1264,🔎,magnifying glass tilted right,1
1264,👇,backhand index pointing down,1
1264,😂,face with tears of joy,2
1267,🥲,smiling face with tear,1
1267,😂,face with tears of joy,1
1269,🤨,face with raised eyebrow,1
1270,🇨🇦,flag: Canada,1
1272,💪,flexed biceps,2
1272,📸,camera with flash,2
1272,🗣️,speaking head,1
1272,💭,thought balloon,1
1272,🏆,trophy,1
1272,🤝,handshake,1
1272,🌟,glowing star,2
1272,🌎,globe showing Americas,1
1272,🎉,party popper,2
1272,🆚,VS button,1
1272,💡,light bulb,1
1272,🔥,fire,1
1278,👆,backhand index pointing up,1
1278,👉,backhand index pointing right,2
1278,❤️,red heart,1
1281,😄,grinning face with smiling eyes,1
1288,🚗,automobile,1
1295,😎,smiling face with sunglasses,1
1295,🥈,2nd place medal,1
1295,🕚,eleven o’clock,1
1295,🥇,1st place medal,1
1295,🤷🏾‍♂️,man shrugging: medium-dark skin tone,1
1295,😔,pensive face,1
1295,💁🏼‍♀️,woman tipping hand: medium-light skin tone,1
1298,💳,credit card,2
1298,🚢,ship,1
1298,☑️,check box with check,1
1298,💙,blue heart,1
1298,➡️,right arrow,1
1298,📌,pushpin,2
1298,✈,airplane,1
1298,💯,hundred points,1
1298,✔,check mark,3
1298,👕,t-shirt,1
1298,🌍,globe showing Europe-Africa,1
1301,🤔,thinking face,1
1311,🤍,white heart,1
1312,📸,camera with flash,1
1314,⚫,black circle,1
1315,✅,check mark button,1
1315,🏆,trophy,1
1315,♟,chess pawn,1
1318,👑,crown,2
1322,✅,check mark button,1
1322,🏆,trophy,1
1322,♟,chess pawn,1
